================================================================================
Section 1: High-frequency language
================================================================================

Common verbs
================================================================================

Foundation tier
--------------------------------------------------------------------------------
あう	会う	to meet
じゅうぶんな	充分な	sufficient
じょうずな	上手な	good at
しんぱいな	心配な	worrying
すきな	好きな	likeable
すてきな	素敵な	lovely
だいすきな	大好きな	that which I love
たいへんな	大変な	hard, troublesome
だめな	(uk)	no good
ちいさな	小さな	small
とくいな	得意な	good at
にがてな	苦手な	bad at
にぎやかな	(uk)	lively, noisy
ハンサムな	(uk)	handsome
ひまな	暇な	having free time
ふべんな	不便な	inconvenient
へたな	下手な	bad at
べんりな	便利な	convenient
まじめな	真面目な	studious, hard working, serious
むりな	無理な	impossible, difficult
ゆうめいな	有名な	famous

Higher tier
--------------------------------------------------------------------------------
あんぜんな	安全な	safe
おしゃべりな	(uk)	chatter box
かんたんな	簡単な	simple
きけんな	危険な	dangerous
けんこうてきな	健康的な	healthy
けんこうな	健康な	healthy
ごうかな	豪華な	luxurious
しあわせな	幸せな	happy
しつれいな	失礼な	rude
じゃまな	邪魔な	in the way, hindering
じゆうな	自由な	free
しょうじきな	正直な	honest
しんせつな	親切な	kind
だいじな	大事な	precious
たいせつな	大切な	important, precious
ていねいな	丁寧な	polite
てきとうな	適当な	suitable
とくべつな	特別な	special
ねっしんな	熱心な	passionate
ひつような	必要な	necessary
ふくざつな	複雑な	complicated
ふけんこうな	不健康な	unhealthy
ふしぎな	不思議な	mysterious
へんな	変な	strange
みごとな	見事な	excellent
むだな	無駄な	wasteful
らくな	楽な	easy
りそうてきな	理想的な	ideal
れきしてきな	歴史的な	historic

Words that can be used with する
================================================================================

Foundation tier
--------------------------------------------------------------------------------
うんてん	運転	drive
うんどう	運動	exercise
キャンセル	(uk)	cancel
コピー	(uk)	photocopy
しっぱい	失敗	failure
しょうかい	紹介	introduce
せいこう	成功	success
せつめい	説明	explain
せんたく	洗濯	washing
ちゅうもん	注文	order
べんきょう	勉強	study
へんじ	返事	reply
やくそく	約束	promise
そうじ	掃除	to clean

Higher tier
--------------------------------------------------------------------------------
あんしん	安心	(to be) relieved
あんない	案内	guide
しゅっぱつ	出発	departure
じゅんび	準備	preparation
しょうたい	招待	invitation
しんぱい	心配	worry
せいかつ	生活	to live
せっとく	説得	to convince
せわ	世話	to look after, to care for
たいいん	退院	to come out of hospital
ちゅうい	注意	caution, warn, be careful
とうちゃく	到着	arrival
にゅういん	入院	to go into hospital
びっくり	(uk)	to be surprised
れんらく	連絡	to notify
ほぞんする	保存	to save

Common adverbs
================================================================================

Foundation tier
--------------------------------------------------------------------------------
あまり	(uk)	not much
いっしょうけんめい	一生懸命	to the best of one's ability
いっしょに	一緒に	together
いつも	(uk)	always
すぐ（に）	(uk)	immediately
すこし	少し	a little
ずっと	(uk)	continuously
ぜんぜん	全然	not at all
だいたい	(uk)	more or less
たくさん	(uk)	a lot of
たとえば	例えば	for example
だんだん	(uk)	gradually
ちょうど	(uk)	exactly
ちょっと	(uk)	a little
ときどき	時々	sometimes
とくに	特に	especially
とても	(uk)	very
はじめて	初めて	for the first time
ほとんど	(uk)	mostly
ほんとうに	本当に	truly
また	(uk)	again
まだ	(uk)	not yet
まっすぐ	(uk)	straight
もう	(uk)	already
もうすぐ	(uk)	soon
もちろん	(uk)	of course
もっと	(uk)	more
ゆっくり	(uk)	slowly
よく	(uk)	often, well

Higher tier
--------------------------------------------------------------------------------
いっぱい	(uk)	lots of
かなり	(uk)	quite
ぜひ	是非	by all means
たぶん	多分	probably
たまに	(uk)	occasionally

Prepositions
================================================================================

Foundation tier
--------------------------------------------------------------------------------
あいだ	間	in between
うえ	上	on, above
うしろ	後ろ	behind
** がわ	**側	** side
した	下	below, beneath
そと	外	outside
そば	(uk)	nearby
ちかく	近く	near
とおく	遠く	far away
となり	隣	next to
なか	中	in, inside
はんたい	反対	opposite
まえ	前	in front of
まわり	周り	around
まんなか	真ん中	right in the middle
むかい	向かい	facing
よこ	横	next to

Colours
================================================================================

Foundation tier
--------------------------------------------------------------------------------
いろ	色	colours
あお （い）	青（い）	blue
あか （い）	赤（い）	red
オレンジ	(uk)	orange
きいろ（い）	黄色（い）	yellow
きん	金	gold
ぎん	銀	silver
グレー	(uk)	grey
くろ（い）	黒（い）	black
しろ（い）	白（い）	white
ちゃいろ（い）	茶色（い）	brown
はいいろ	灰色	grey
ピンク	(uk)	pink
みどり	緑	green
むらさき	紫	purple

Numbers
================================================================================

Foundation tier
--------------------------------------------------------------------------------
ゼロ	(uk)	zero
れい	零	zero
いち	一	one
に	二	two
さん	三	three
し	四	four
よん	四	four
ご	五	five
ろく	六	six
なな	七	seven
しち	七	seven
はち	八	eight
きゅう	九	nine
じゅう	十	ten
じゅういち、じゅうに…	十一、十二 …	eleven, twelve…
にじゅういち、にじゅうに…	二十一、二十二 ...	twenty-one, twenty-two…
ひゃく	百	one hundred
せん	千	one thousand
まん	万	ten thousand
いちおく	一億	a hundred million
ひとつ	一つ	one
ふたつ	二つ	two
みっつ	三つ	three
よっつ	四つ	four
いつつ	五つ	five
むっつ	六つ	six
ななつ	七つ	seven
やっつ	八つ	eight
ここのつ	九つ	nine
とお	十	ten
ひとつめ、ふたつめ…	一つ目、二つ目…	first, second…
いちばん、にばん…	一番、二番…	first, second…
いちばんめ、にばんめ…	一番目、二番目…	first, second…
マイナス	(uk)	minus
プラス	(uk)	plus

Higher tier
--------------------------------------------------------------------------------
(さん)ぶんの(いち) ...	(三)分の(一)	one third…
(に)てん(なな)	(二)・(七)	two point seven
かず	数	number
ずつ	(uk)	each

Quantities and measures
================================================================================

Foundation tier
--------------------------------------------------------------------------------
えん	円	yen
ドル	(uk)	dollars
ポンド	(uk)	pound sterling
ユーロ	(uk)	Euro
かい	回	counter for number of times
かい	階	counter for number of floors
かん	缶	a can
こ	個	general counter
さい	才、歳	years old
さつ	冊	counter for books
だい	台	counter for machines, vehicles
てん	点	marks, points
にん	人	counter for people
はい	杯	cup fulls
はく	泊	counter for number of nights
ひき・ぴき	匹	counter for small animals
びん	瓶	a bottle
ほん	本	counter for long, thin, cylindrical things
まい	枚	counter for flat things
ひとり	一人	one person
ふたり	二人	two people
ばんごう	番号	number
はんぶん	半分	half
ぐらい	(uk)	about (quantities)
ごろ	(uk)	about (times)
キロ	(uk)	kilometre, kilogramme
グラム	(uk)	gramme
センチ	(uk)	centimetre
メートル	(uk)	metre
おなじ	同じ	the same

Higher tier
--------------------------------------------------------------------------------
せいき	世紀	century
など	(uk)	etc.
ばい	倍	twice, ** times

Connectives
================================================================================

Foundation tier
--------------------------------------------------------------------------------
あとで	後で	later
さいご（に）	最後（に）	lastly
さいしょ（に）	最初（に）	firstly
そして	(uk)	and
それから	(uk)	and then
それに	(uk)	moreover
だから	(uk)	therefore
つぎ（に）	次（に）	next
でも	(uk)	but
まず	(uk)	firstly

Higher tier
--------------------------------------------------------------------------------
しかし	(uk)	however
もし	(uk)	if

Time expressions
================================================================================

Foundation tier
--------------------------------------------------------------------------------
ごぜん	午前	am
ごご	午後	pm
きょう	今日	today
あした	明日	tomorrow
あさって	(uk)	the day after tomorrow
きのう	昨日	yesterday
おととい	(uk)	the day before yesterday
まいにち	毎日	every day
こんしゅう	今週	this week
せんしゅう	先週	last week
らいしゅう	来週	next week
さらいしゅう	再来週 the week after next
まいしゅう	毎週	every week
こんげつ	今月	this month
らいげつ	来月	next month
さらいげつ	再来月 the month after next
せんげつ	先月	last month
まいつき	毎月	every month
ことし	今年	this year
らいねん	来年	next year
さらいねん	再来年	the year after next
おととし	(uk)	the year before last
きょねん	去年	last year
まいとし	毎年	every year
**にち	**日	** days
**しゅうかん	**週間	** weeks
**ねん	**年 ** years
いま	今	now
**じ**ふん	**時**分	** minutes past **
**じはん	**時半	half past **
びょう	秒	seconds
ごぜんちゅう	午前中 during the morning
じかん	時間	time
** じかん	**時間	length of time
いちねんじゅう	一年中	all year round
あさ	朝	morning
ばん	晩	evening
まいあさ	毎朝	every morning
まいばん	毎晩	every evening
よる	夜	night
こんばん	今晩	this evening
ひ	日	day
むかし	昔	in the past

Higher tier
--------------------------------------------------------------------------------
（**と）どうじに	（**と）同時に	at the same time as **
（**の）あと（で/に）	（**の）後（で/に）	after (**)
（**の）まえに	（**の）前に	before (**)
**かげつ	**か月	** months
いちにちじゅう	一日中	all day long
けさ	今朝	this morning
こんど	今度	this time / next time
さいきん	最近	recently
しばらく	(uk)	for a while
ひる	昼	noon
へいせい	平成	the Heisei era
まよなか	真夜中 midnight
ゆうがた	夕方	evening

Days of the week
================================================================================

Foundation tier
--------------------------------------------------------------------------------
げつようび	月曜日	Monday
かようび	火曜日	Tuesday
すいようび	水曜日	Wednesday
もくようび	木曜日	Thursday
きんようび	金曜日	Friday
どようび	土曜日	Saturday
にちようび	日曜日	Sunday
しゅうまつ	週末	weekend
きゅうじつ	休日	holiday
しゅくじつ	祝日	festival day

Months and seasons of the year
================================================================================

Foundation tier
--------------------------------------------------------------------------------
いちがつ	一月	January
にがつ	二月	February
さんがつ	三月	March
しがつ	四月	April
ごがつ	五月	May
ろくがつ	六月	June
しちがつ	七月	July
はちがつ	八月	August
くがつ	九月	September
じゅうがつ	十月	October
じゅういちがつ	十一月	November
じゅうにがつ	十二月	December
きせつ	季節	season
はる	春	spring
つゆ	梅雨	rainy season
なつ	夏	summer
あき	秋	autumn
ふゆ	冬	winter

Question words
================================================================================

Foundation tier
--------------------------------------------------------------------------------
いくら	(uk)	how much (money)
いつ	(uk)	when
だれ	(uk)	who
どう	(uk)	how
どうして	(uk)	why
どうやって	(uk)	how
どこ	(uk)	where
どの	(uk)	which
どのくらい	(uk)	how much (quantity)
どれ	(uk)	which one
どんな	(uk)	what kind of
なに	何	what
なにいろ	何色	what colour
なん with a measure word	何 with a measure word	????
なんがつ	何月	which month
なんじ	何時	what time
なんにち	何日	what date
なんようび	何曜日	what day of the week

Higher tier
--------------------------------------------------------------------------------
いかが	(uk)	how (about)
なぜ	(uk)	why

Other useful expressions
================================================================================

Foundation tier
--------------------------------------------------------------------------------
**くん	**君	used after a boy's name
**さん	(uk)	Mr./Mrs./Ms.
** さま	**様	Mr./Mrs./Ms.
**でございます	(uk)	This is / It is **
あの（う）	(uk)	well…
ありがとう（ございます）	(uk)	thank you (very much)
いいですね(え)	(uk)	that's nice
いいですよ	(uk)	that's fine
いただきます	(uk)	bon apetite
いらっしゃいませ	(uk)	welcome
いってきます	行ってきます	I'm off
いってらっしゃい	(uk)	see you later / take care
ただいま	(uk)	I'm home
おかえりなさい	お帰りなさい	welcome home
おかげさまで	(uk)	thanks for asking
おげんきですか	お元気ですか	how are you?
おだいじに	お大事に	take care (to an ill person)
おねがいします	お願いします	please
おはよう（ございます）	(uk)	good morning
おやすみなさい	お休みなさい	good night
かしこまりました	(uk)	certainly
がんばって（ください）	頑張って（ください）	Do your best
ごちそうさま（でした）	(uk)	thanks for a lovely meal
ごめんなさい	(uk)	I'm sorry
こんにちは	(uk)	hello
こんばんは	(uk)	good evening
さようなら	(uk)	goodbye
ざんねんです（が）	残念です（が）	It's a pity, but..
じゃ	(uk)	well then, in that case
じゃ、また	(uk)	see you again
すみません	(uk)	sorry, excuse me, thanks
ぜんぶ（で）	全部（で）	in total
だいじょうぶ（です）	大丈夫（です）	I'm/It's okay
ちょっと…	(uk)	it’s a bit…
つごうがわるいです	都合が悪いです	It's not convenient
どうぞ	(uk)	said when giving things
どうも	(uk)	thanks
はい	(uk)	yes
いいえ	(uk)	no
ええ	(uk)	yes (familiar)
うん	(uk)	yes (familiar)
ううん	(uk)	no (familiar)
はじめまして	初めまして	how do you do
ほかに？	他に？	anything else?
もういちどおねがいします	もう一度お願いします	again, please
もしもし	(uk)	hello on the phone
ようこそ	(uk)	welcome
よろしく（おねがいします）	よろしく（お願いします）	please be good to me

Higher tier
--------------------------------------------------------------------------------
けっこうです	結構です	it's okay
こちらこそ	(uk)	it's me who should be saying that
しつれいします	失礼します	excuse me
しつれいですが	失礼ですが	excuse me, but…
では、また	(uk)	see you again
どういたしまして	(uk)	you're welcome
わたしのいけんでは	私の意見では	in my opinion

Countries and continents
================================================================================

Foundation tier
--------------------------------------------------------------------------------
アイルランド	(uk)	Ireland
アメリカ	(uk)	America
イギリス	(uk)	England/UK
イタリア	(uk)	Italy
イングランド	(uk)	England
インド	(uk)	India
ウェールズ	(uk)	Wales
オーストラリア	(uk)	Australia
カナダ	(uk)	Canada
かんこく	韓国	Korea
スコットランド	(uk)	Scotland
スペイン	(uk)	Spain
ちゅうごく	中国 China
ドイツ	(uk)	Germany
にほん	日本	Japan
フランス	(uk)	France
ロシア	(uk)	Russia
アジア	(uk)	Asia
アフリカ	(uk)	Africa
ヨーロッパ	(uk)	Europe

Higher tier
--------------------------------------------------------------------------------
えいこく	英国	England/UK
べいこく	米国	USA

Nationalities
================================================================================

Foundation tier
--------------------------------------------------------------------------------
アメリカじん	アメリカ人	American
イギリスじん	イギリス人	English
イタリアじん	イタリア人	Italian
インドじん	インド人	Indian
オーストラリアじん	オーストラリア人	Australian
カナダじん	カナダ人	Canadian
かんこくじん	韓国人	Korean
スペインじん	スペイン人	Spanish
ちゅうごくじん	中国人	Chinese
ドイツじん	ドイツ人	German
にほんじん	日本人	Japanese
フランスじん	フランス人	French
ロシアじん	ロシア人	Russian

Places
================================================================================

Foundation tier
--------------------------------------------------------------------------------
ほっかいどう	北海道	Hokkaido
ほんしゅう	本州	Honshu
きゅうしゅう	九州	Kyushu
しこく	四国	Shikoku
けん	県	prefecture
し	市	city
むら	村	village
とうきょう	東京	Tokyo
おおさか	大阪	Osaka
おきなわ	沖縄	Okinawa
きょうと	京都	Kyoto
さっぽろ	札幌	Sapporo
なら	奈良	Nara
ひろしま	広島	Hiroshima
ふじさん	富士山	Mt. Fuji
ロンドン	(uk)	London
パリ	(uk)	Paris
ニューヨーク	(uk)	New York

Areas/mountains/seas
================================================================================

Foundation tier
--------------------------------------------------------------------------------
うみ	海	sea
おんせん	温泉	hot spring
かわ	川	river
しま	島	island
たんぼ	田んぼ	rice field
とし	都市	large city
はやし	林	woods
もり	森	forest
やま	山	mountain
けしき	(uk)	scenery
きた	北	north
にし	西	west
ひがし	東	east
みなみ	南	south

Higher tier
--------------------------------------------------------------------------------
アルプス	(uk)	Alps
おか	丘	hill
しゅう	州	state
しゅと	首都	capital city
じんこう	人口	population
ちいき	地域	region
ちほう	地方	region, district

Language used in dialogues and messages
================================================================================

Foundation tier
--------------------------------------------------------------------------------
けいたいでんわ	携帯電話	mobile phone
じゅうしょ	住所	address
でんしメール	電子メール	email
でんわ	電話	telephone
でんわばんごう	電話番号	telephone number
めいし	名刺	name card / business card
メール	(uk)	email/text
メールアドレス	(uk)	email address
メッセージ	(uk)	message
ゆうびんばんごう	郵便番号	postcode

================================================================================
Section 2 – Topic-specific vocabulary
================================================================================

Identity and culture - food and drink
================================================================================

Foundation tier
--------------------------------------------------------------------------------
たべもの	食べ物	food
のみもの	飲み物	drink(s)
アイスクリーム	(uk)	ice cream
うどん	(uk)	udon noodles
おかし	お菓子	Japanese sweets
おにぎり	(uk)	rice balls
おべんとう	お弁当	packed lunch / bento
オレンジ	(uk)	orange
カレーライス	(uk)	curry (rice)
ぎゅうにく	牛肉	beef
ぎゅうにゅう	牛乳	milk
くだもの	果物	fruit
ケーキ	(uk)	cake
こうちゃ	紅茶	tea
コーヒー	(uk)	coffee
コーラ	(uk)	coke
こおり	(uk)	ice
ココア	(uk)	cocoa
ごはん	ご飯	rice
（お）こめ	（お）米	(uncooked) rice
さかな	魚	fish
（お）さけ	（お）酒	sake
さしみ	刺身	sashimi
サラダ	(uk)	salad
サンドイッチ	(uk)	sandwich
ジュース	(uk)	juice
しょうゆ	(uk)	soy sauce
スープ	(uk)	soup
すきやき	好き焼き	sukiyaki
（お）すし	（お）寿司	sushi
ステーキ	(uk)	steak
ソーセージ	(uk)	sausage
そば	(uk)	soba noodles
たまご	卵	egg
チーズ	(uk)	cheese
チキン	(uk)	chicken
チップス	(uk)	crisps
ポテトチップス	(uk)	crisps
(お)ちゃ	(お)茶	green tea
チョコレート	(uk)	chocolate
デザート	(uk)	dessert
てんぷら	天ぷら	tempura
トースト	(uk)	toast
とりにく	鶏肉	chicken
にく	肉	meat
パスタ	(uk)	pasta
バナナ	(uk)	banana
ハム	(uk)	ham
パン	(uk)	bread
ハンバーガー	(uk)	hamburger
ビーフ	(uk)	beef
ビール	(uk)	beer
ピザ	(uk)	pizza
ビュッフェ	(uk)	buffet
フライドポテト	(uk)	chips
みかん	(uk)	satsuma/tangerine
みず	水	water
みそしる	味噌汁	miso soup
ミルク	(uk)	milk
やさい	野菜	vegetable(s)
ヨーグルト	(uk)	yogurt
ラーメン	(uk)	(egg) noodles
りんご	(uk)	apple
レモン	(uk)	lemon
ワイン	(uk)	wine
ベジタリアン	(uk)	vegetarian
メニュー	(uk)	menu
あさごはん	朝ごはん	breakfast
ひるごはん	昼ごはん	lunch
ばんごはん	晩ごはん	dinner
がいしょく	外食	eating out
はし	箸	chopsticks
ナイフ	(uk)	knife
フォーク	(uk)	fork
スプーン	(uk)	spoon

Higher tier
--------------------------------------------------------------------------------
あぶら	油	oil
アボカド	(uk)	avocado
いちご	(uk)	strawberry
おこのみやき	お好み焼き	okonomiyaki
おゆ	お湯	hot water
きゅうり	(uk)	cucumber
こしょう	(uk)	pepper
サーモン	(uk)	salmon
さとう	砂糖	sugar
シーフード	(uk)	sea food
しお	塩	salt
じゃがいも	じゃが芋	potato(es)
ジャム	(uk)	jam
スナック	(uk)	snack
たまねぎ	玉ねぎ	onion
ていしょく	定食	set meal
トマト	(uk)	tomato
なし	梨	pear
なま（の）	生（の）	raw
にゅうせいひん	乳製品	milk products
にんじん	人参	carrot(s)
パイナップル	(uk)	pineapple
バター	(uk)	butter
ぶたにく	豚肉	pork
ぶどう	葡萄	grapes
ミックス	(uk)	mixed
めいぶつ	名物	speciality
もも	桃	peach
やきとり	焼き鳥	grilled chicken skewers
ゆうきしょくひん	有機食品	organic
あじ	味	taste
しょくじ	食事	meal
ちゅうしょく	昼食	lunch
ちょうしょく	朝食	breakfast
ゆうしょく	夕食	dinner
コップ	(uk)	cup
（お）さら	（お）皿	plate
なべ	鍋	(cooking) pot
フライパン	(uk)	frying pan
おかいけい	お会計	the bill
おかんじょう	お勘定	the bill
サービス	(uk)	service
セルフサービス	(uk)	self-service
さいしょくしゅぎ	菜食主義	vegetarian

Clothing
================================================================================

Foundation tier
--------------------------------------------------------------------------------
T シャツ	(uk)	T-shirt
かさ	傘	umbrella
かばん	鞄	bag
きもの	着物	kimono/clothes
くつ	靴	shoe(s)
くつした	靴下	sock(s)
コート	(uk)	coat
サイズ	(uk)	size
ジーンズ	(uk)	jeans
シャツ	(uk)	shirt
スーツ	(uk)	suit
スカート	(uk)	skirt
ズボン	(uk)	trousers
セーター	(uk)	jumper
とけい	時計	watch, clock
ネクタイ	(uk)	tie
パジャマ	(uk)	pyjamas
バッグ	(uk)	bag
ハンカチ	(uk)	handkerchief
はんズボン	半ズボン	shorts
ハンドバッグ	(uk)	handbag
ファッション	(uk)	fashion
ブーツ	(uk)	boot(s)
ベルト	(uk)	belt
