語	級別	舊	漢字・原文	備註	發音	中文意思
あご	1		顎		2	下巴、頜、顎
あこがれ	1		憧れ		0	憧憬、向往
あこがれる	2		憧れる		0,5	憧憬的、向往的
あさ	4		朝		1	早晨、早上
あさ	1		麻		2	麻、麻布
あざ	1		痣		2	痣
あさい	3	*2	浅い		0	淺的、淡的、輕的
あさごはん	4		朝御飯		3	早飯、早餐
あさって	4		明後日		2	後天
あさねぼう	0	*3	朝寝坊		3	賴床
あさましい	1		浅ましい		4	卑鄙
あざむく	1		欺く		3	欺騙
あざやか	1		鮮やか		2	鮮明
あざわらう	1		嘲笑う		4	嘲笑
あし	4		足		2	腳、腿
あじ	3		味		0	味、味道
アジア	3	*2	Asia		1	亞洲
あしあと	2		足跡		3	足跡
あしからず	1		悪しからず		3	請不要見怪
あした	4		明日		3	明日、明天
あしもと	2		足元		3	腳下
あじわい	1		味わい		0	品味
あじわう	2		味わう		0,3	品味
あす	3		明日		2	明天、將來
あずかる	2		預かる		3	保管
あずける	2		預ける		3	保管
あせ	2		汗		1	汗水
あせる	1		焦る		2	著急
あせる	1		褪せる「色が〜」		0,2	褪色
あそこ	4		あそこ		0	那裡
あそび	3		遊び		0	遊戲、玩耍
あそぶ	4		遊ぶ		0	玩
あたい	1		値		0	價值
あたいする	1		値する		0	值
あたえる	2		与える		0	給予
あたたか	2		暖か、温か		2,3	溫暖、溫和
あたたかい	4		暖かい、温かい		4	溫暖、溫和
あたたまる	2		暖まる、温まる		4	暖和、取暖
あたためる	2		暖める、温める		4	使…暖、使…熱
あたま	4		頭		0,3	頭、腦袋
あたらしい	4		新しい		4	新的、新式的
あたり	2		辺り		1	附近
あたり	1		当り//〜当り		0	碰撞、命中、中奨//每、左右、大約
あたりまえ	2		当たり前		0	當然
あたる	2		当る		0	照射、當、擔任、碰上、撞上、成功
あちこち	2		あちこち		2,3	到處
あちら	4		あちら		0	那邊
あちらこちら	2		あちらこちら		4	到處
あつい	4		厚い		0	厚的
あつい	4		暑い		2	熱、炎熱
あつい	4		熱い		2	熱、燙的
あっか	1		悪化		0	惡化
あつかい	1		扱い		0	對待
あつかう	2		扱う		0,3	對待
あつかましい	2		厚かましい		5	無恥
あっけない	1		呆気ない		4	太簡單
あっさり	1		あっさり		3	清淡
あっしゅく	2		圧縮		0	壓縮
あっせん	1		斡旋		0	斡旋
あっち	4	*2	あっち		3	那邊
あっとう	1		圧倒		0	凌駕
あっぱく	1		圧迫		0	壓迫
アップ	1		up		1	提升、向上
あつまり	2		集り		0,3	聚集、集會
あつまる	3		集まる		3	集合、集
あつめる	3		集める		3	集中、收集
あつらえる	1		誂る		3,4	訂做
あつりょく	1		圧力		2	壓力
あて	1		〜宛		0	寄給〜
あて	1		当て		0	目標、希望、指望
あてじ	1		当字、宛字		0	錯別字、借用字、白字
あてな	2		宛名		0	收件人姓名
あてはまる	2		当て嵌まる		4	適合
あてはめる	2		当て嵌める		4	適用
あてる	2		当てる		0	碰、撞、接觸、指名
あてる	1		宛てる		0	發給
あと	4		後		1	後面
あと	2		跡、痕		1	蹟、跡象、痕跡
あと	2		後〜//〜跡	接辞	1	後方、後//痕
あとつぎ	1		跡継		2	後代、後嗣
あとまわし	1		後回し		3	緩辦
あな	2		穴		2	洞、缺陷
アナウンサー	3	*2	announcer		3	廣播員
あなた	4		貴方		2	你
あに	4		兄		1	哥哥
あね	4		姉		0	姐姐、姊姊
あの	4		あの	指示詞	0	那、那個
あの	4		あの	感動詞	0	哎、啊、嗯
アパート	4		apartmentbuilding		2	公寓
あばれる	2		暴れる		0	鬧、放蕩
あびる	4		浴びる		0,3	浴、洗、淋
あぶない	4		危ない		0,3	危險的
あぶら	2		油、脂		0	油、脂肪
あぶらえ	1		油絵		3	油畫
アフリカ	3	*2	Africa		0	非洲
あぶる	2		炙る、焙る「火に〜」		2	烘、烤
あふれる	2		溢れる		3	滿、溢、充滿
アプローチ	1		approach		3	方法、入口、接近
あべこべ	1		あべこべ		0	反對、相反
あまい	4		甘い		0	甜、甜蜜、姑且、天真、不緊
あまえる	1		甘える		0	撒嬌
あまぐ	1		雨具		2	雨具
あまくち	1		甘口		0	帯甜味的
アマチュア	1		amateur		0,2	外行(人)、業餘
あまど	2		雨戸		2	木板套窗
あまやかす	2		甘やかす		0,4	嬌養
あまり	4		余り	副詞	0,3	多、多些
あまり	2		余	名詞	0,3	餘、剩餘、過度
あまる	2		余る		2	餘、剩、過份
あみ	1		網		2	網、鐵絲網
あみもの	2		編物		2	編織的東西
あむ	2		編む		1	編織、編輯
あめ	4	*2	飴		0	麥芽糖
あめ	4		雨		1	雨、雨天
アメリカ	3	*2	America		0	美國
あやうい	2		危うい		0,3	危險
あやしい	2		怪しい		0	奇怪的、靠不住
あやつる	1		操る		3	要、操縱
あやぶむ	1		危ぶむ		3	掛念、擔心
あやふや	1		あやふや		0	含糊、靠不住
あやまち	1		過ち		0,3,4	錯、過失
あやまり	2		誤り		3,4	錯誤
あやまる	3		謝る		3	道歉
あやまる	1		誤る		3	弄錯、錯誤、認錯
あゆみ	1		歩み		3	步行、走
あゆむ	1		歩む		2	步行、進展
あら	2		あら	感動詞	1	唉呀！
あらい	2		荒い		0	粗暴、粗大
あらう	4		洗う		0	洗、調查
あらかじめ	1		予め		0	預先
あらし	2		嵐		1	風暴
あらす	1		荒らす		0	破壞、使荒廢
あらすじ	2		粗筋		0	概略
あらそい	1		争い		0,3	糾紛、爭論
あらそう	2		争う		3	爭奪、競爭
あらた	2		新た		1	重新
あらたまる	1		改まる		4	改良、革新
あらためて	2		改めて		3	重新、再
あらためる	2		改める		4	改變、修改
あらっぽい	1		荒っぽい		0	粗暴的、粗糙的
アラブ	1		Arab		1	阿拉伯
あらゆる	2		あらゆる		3	所有、一切
あられ	1		霰		0	雪珠、霰
あらわす	2		表わす//現す//著す		3	表示、表現//顯出、露出//著
あらわれ	2		現れ		0,3,4	表現、結果
あらわれる	2		現れる		4	出現、被發現
ありがたい	2		有難い		4	難得的、值得感謝
（どうも）ありがとうございます・ました。	4		（どうも）有難う御座居ます・有難う-御座居ました。	挨拶語	(1)2・(1)2--4	謝謝、非常感謝
ありさま	1		有様		0,2	樣子、情況
ありのまま	1		有りの儘		0,5	據實
ありふれる	1		有触れる		0	常見、不稀奇
ある	4		在る[存在]		1	在
ある	4		有る[所有]		1	有
ある	2		或る		1	或、有、某
あるいは	2		或いは		2	或是
アルカリ	1		alkali	オランダ語	0	鹼
あるく	4		歩く		2	步行、走
アルコール	3		alcohol		0	酒精
アルバイト	3		Arbeit	ドイツ語	3	打工
アルバム	2		album		0,1	照相簿、歌曲選紀念集(冊)
アルミ	1		aluminum		0	鋁
あれ	4		あれ	指示詞	0	那個、那裡
あれ	2		あれ	感動詞	1	哎呀
あれこれ	2		あれこれ		2	這個那個
あれる	2		荒れる		0	荒蕪、荒廢
あわ	2		泡		2	泡、沫、水花
アワー	0	*1	hour		1	時間、時刻
あわす	1		合わす		2	合併、配合、調準、比較
あわせ	1		〜合わせ		3	合
あわせる	2		合わせる//併せる		3	合併、配合、調準、比較//把…合而為一
あわただしい	2		慌しい		5	慌忙的
あわてる	2		慌てる		0	驚慌
あわれ	2		哀れ		1	悲哀、可憐
あん	2		案		1	想法、建議、設想
あんい	2		安易		0,1	容易、估計不足
あんがい	2		案外		0,1	沒想到
あんき	2		暗記		0	記住、背下來
アンケート	1		enquête	フランス語	1,3	問卷調查
アンコール	1	*1	encore		3	再一次、安可
あんさつ	1		暗殺		0	暗殺
あんざん	1		暗算		0	心算、暗算
あんじ	1		暗示		0	暗示
あんじる	1		案じる		0,3	擔心、想辦法
あんしん（する）	3		安心（する）		0	安心、放心
あんせい	1		安静		0	安靜
あんぜん	3		安全		0	安全
あんてい	2		安定		0	安定、穩定性
アンテナ	2		antenna		0	天線
あんな	3		あんな		0	那樣的
あんない（する）	3		案内（する）		3	引導、指南
あんなに	2		あんなに		0	那麼、那樣的
あんのじょう	1		案の定		3	果然、正如所料
あんまり	2		あんまり		0,4	過度、過於
い	2		胃		0	胃
い	2		〜位		1	第〜名
い	1		異		0	不同、奇異
い	1		意		1	心意、意義、意思
いい//よい	4		良い		1	好、合適、為好
いいえ	4		いいえ		3	不、不是
いいかげん	1		好い加減		0	馬虎、不徹底、相當、適當
いいだす	2		言い出す		3	說出來、開始說
いいつける	2		言い付ける		4	吩咐、命令、告狀、告發
いいわけ	1		言い訳		0	辯解、分辯
いいん	2		委員		1	委員
いいん	1		医院		1	醫院、私人診所
いう	4		言う		0,2	說、訴說
いえ	4		家		2	房子、住宅
いえ	2		いえ		1,2	不是
イエス	0	*1	yes		2	是、同意
いえで	1		家出		0,3	離家出走
いか	3		以下		1	以下、下面、後面
いがい	3		以外		1	以外、除…之外
いがい	2		意外		0	意外、想不到
いかが	4	*3	如何		2	如何、是否合適
いがく	3		医学		1	醫學
いかす	1		生かす		2	使…活著、留活命
いかに	1		いかに		2	如何、怎樣、無論怎樣…也
いかにも	1		いかにも		2	非常、的確、好像
いかり	1		怒り		0	憤怒
いき	2		息		1	呼吸、氣息
いき	1		粋		0	漂亮、風流
いぎ	2		意義		1	意義
いぎ	1		異議		1	不同意見
いき//ゆき	2		行		2	去、往、開往…
いきいき	2		生き生き		3	生氣勃勃
いきおい	2		勢い		3	氣勢、力量、趨勢
いきがい	1		生甲斐		0,3	生存的意義
いきごむ	1		意気込む		3	幹勁
いきちがい	1		行き違い		0	走岔、(聯繫等)弄錯
いきなり	2		行き成り		0	突然、冷不防
いきもの	2		生物		2,3	有生命力的東西
いきる	3		生きる		2	生存、謀生、有效、活
いく//ゆく	4		行く		0	去
いく〜	2		幾〜		1	多少、許多
いくじ	2		育児		1	育兒
いくせい	1		育成		0	培養、培育
いくた	1		幾多		1	幾多、許多
いくつ	4		幾つ		1	多少、幾個、幾歲
いくぶん	2		幾分		0	某種程度
いくら	4		幾ら		1	多少、多少錢、不論多少
いくら〜ても	3		いくら〜ても		1--1	即使多麼…也、不論…也…
いけ	4		池		2	池子
いけない	0	*2	いけない		0	不好、不可以
いけばな	2		生花		2	插花、生花
いける	1		生ける・活ける「花を〜」		2	使活下去
いけん	3		意見		1	意見、規勸
いけん	1		異見		0	不同見解
いご	2		以後		1	…以後、今後
いこう	2		以降		1	以後
いこう	1		移行		0	過渡、移轉
いこう	1		意向		0	意向、志向、打算
イコール	2		equal		2	相等、等於、等號
いざ	1		いざ	感動詞	1	喂、哎、嘿
いさましい	2		勇ましい		4	勇敢的、活躍的
いし	3		石		2	石頭、礦石、寶石
いし	2		意思・意志		1	意志、意思
いし	2		医師		1	醫生
いじ	2		維持		1	維持
いじ	1		意地		2	意地
いしき	2		意識		1	意識
いじめる	3		苛める		4	欺負、捉弄
いしゃ	4		医者		0	醫生
いじゅう	1		移住		0	移居
いしょう	1		衣装		1	戲裝、服裝
いじょう	3		以上		1	以上
いじょう	2		異常		0	異常
いしょくじゅ	2		衣食住		1,2,3	衣食住
いじる	1		弄る		3	擺弄
いじわる	2		意地悪		2,3	心眼壞
いす	4		椅子		0	椅子
いずみ	2		泉		0	泉水
いずれ	2		何れ		0	哪個
いせい	1		異性		0,1	異性
いせき	1		遺跡		0	遺跡
いぜん	2		以前		1	以前
いぜん	1		依然		0	依然
いそがしい	4		忙しい		4	繁忙的、忙碌的
いそぐ	3		急ぐ		2	急速
いぞん	1		依存		0	依存
いた	2		板		0	木板
いたい	4		痛い		2	疼、疼痛
いだい	2		偉大		0	偉大
いたく	1		委託		0	委託
いだく	2		抱く		2	抱、懐抱
いたす	3		致す		2	〔謙讓語〕致、達
いたずら	2		悪戯		0	惡作劇
いただき	1		頂「山の〜」		0	頂部
いただきます。	4		頂きます。	挨拶語	5	我要吃了
いただく	3		頂く		4	〔謙讓語〕領、戴、吃、喝
いたって	1		至って		0,2	很、非常
いたみ	2		痛み		3	損傷、腐敗
いたむ	2		痛む		2	疼痛
いためる	1		炒める		3	炒
いためる	1		傷める		3	損傷
いたる	2		至る		2	至、到達
いたわる	1		労わる		3	安慰、憐憫
いち	4		一		2	一
いち	2		〜一「日本一」			第一、最好
いち	1		市		1	市場
いち	1		位置		2	位置、地位、位於
いちいち	4		一々		2	一個一個地、逐一
いちおう	2		一応		0	姑且、一併
いちがいに	1		一概に		2	一概
いちじ	2		一時		2	一段時間
いちじるしい	1		著しい		5	明顯的
いちだんと	2		一段と		0	更加
いちど	3		一度		3	一回、一次
いちどう	1		一同		3	全體
いちどに	2		一度に		3	同時
いちにち	4		一日		4	一日、終日
いちば	2		市場		1	市場
いちばん	4		一番	名詞//副詞	2//0	最初、最好//最、頂
いちぶ	2		一部		2	一部、一份
いちぶぶん	1		一部分		3	一部分
いちべつ	0	*1	一別//一瞥		0	一別//看一眼
いちめん	1		一面		0	全體、一面、片面
いちもく	1		一目		0,2	一目
いちよう	1		一様		0	一樣
いちりつ	1		一律		0	一律
いちりゅう	2		一流		0	一流
いちれん	1		一連		0	一串
いつ	4		何時		1	何時、什麼時候
いっか	2		一家		1	全家
いつか	4		五日		0	五日、五號
いつか	2		何時か		1	以前、早晚、不知不覺
いっかつ	1		一括		0	包括
いっき	1		一気		1	一口氣
いっきょに	1		一挙に		1	一舉
いっけん	1		一見		0	看一次
いっさい	1		一切		1	一切
いっさくじつ	2		一昨日		0	前天
いっさくねん	2		一昨年		0	前年
いっしゅ	2		一種		1	一種
いっしゅん	2		一瞬		0	瞬間
いっしょ	4		一緒		0	一同、一起
いっしょう	2		一生		0	一生
いっしょうけんめい	3		一生懸命		5	非常努力、拼命
いっしん	1		一心		3	齊心
いっせい	2		一斉（に）		0	一齊
いっそ	1		いっそ		0	寧可、倒不如
いっそう	2		一層		0	更、越發
いったい	4		一体		0	一體、究竟、到底
いったい	1		一帯		0	一帶
いったん	2		一旦		0	一旦、既然
いっち	2		一致		0	一致
いつつ	4		五つ		2	五個、五歲
いってい	2		一定		0	統一規定、固定
いっていらっしゃい。	0	*3	行っていらっしゃい。	挨拶語	0,7	慢走
いってまいります。	3		行って参ります。	挨拶語	7	我走了
いつでも	2		何時でも		1	隨時、總是
いってらっしゃい。	3		行ってらっしゃい。	挨拶語	6	慢走
いつのまにか	2		いつのまにか		1	不知什麼時候
いっぱい	3		一杯	副詞	0	滿、全部
いっぱん	3		一般（に）		0	一般、普通
いっぺん	1		一変		0	完全改變
いっぽう	2		一方		3	一方面、越來越
いつまでも	2		何時までも		1	永遠、始終
いつも	4		何時も		1	總是、往常、經常、平時
いてん	2		移転		0	遷移、轉讓
いと	3		糸		1	線、絲
いと	1		意図		1	企圖
いど	2		井戸		1	井
いど	2		緯度		1	緯度
いどう	2		移動		0	移動、巡迴
いどう	1		異動		0	調動
いとこ	2		従兄弟、従姉妹		2,1	表兄弟、堂兄弟
いとなむ	1		営む		3	經營
いどむ	1		挑む		2	挑戰、挑逗
いない	3		以内		1	以內
いなか	3		田舎		0	鄉下、故鄉
いなびかり	1		稲光		3	閃電
いぬ	4	*2	犬		2	狗
いね	2		稲		1	水稻
いねむり	2		居眠り		2,3,4	打瞌睡
いのち	2		命		1	生命、命脈
いのり	1		祈り		3	祈禱
いのる	3		祈る		2	祈禱、祝福
いばる	2		威張る		2	驕傲、逞威風
いはん	2		違反		0	違反
いびき	1		鼾		3	鼾聲
いふく	2		衣服		1	衣服
いま	4		今		1	現在、馬上
いま	2		居間		2	起居室
いまさら	1		今更		0,1	事到如今、現在才
いまだ	1		未だ		0,1	尚未、迄今
いまに	2		今に		1	即將
いまにも	2		今にも		1	馬上、就要
いみ	4		意味		1	意思、含義、價值
いみん	1		移民		0	移民
イメージ	2		image		1,2	印象、像、圖像
いもうと（さん）	4		妹（さん）		0,4	妹妹、小姨
いや	4		嫌		2	討厭、不願意
いやいや	1		嫌々		0	不、無奈
いやがる	2		嫌がる		3	嫌、討厭
いやしい	1		卑しい		0,3	貪婪、卑鄙
いやに	1		いやに		2	過於
いやらしい	1		嫌らしい		4	令人不快、下流
いよいよ	2		愈々		2	越發、終於
いよく	1		意欲		1	意願
いらい	2		依頼		0	委託、依靠
いらい	2		以来		1	以來、今後
いらいら	2		いらいら		1	著急
いらっしゃい（ませ）。	4		いらっしゃい（ませ）。	挨拶語	4(6)	請來、歡迎
いらっしゃる	3		いらっしゃる		4	在、來、去
いりぐち	4		入り口		0	入口、門口
いりょう	2		医療		0,1	醫療、治療
いりょう	1		衣料		1	布料
いりょく	1		威力		1	威力
いる	4		居る		0	有、居住
いる	4		要る		0	要、需要
いる	2		煎る、炒る		1	炒、煎
いるい	1		衣類		1	衣服
いれもの	2		入物		0	容器
いれる	4		入れる		0	容納、採用、娤、放
いろ	4		色		2	色、色彩
いろいろ	4		色々		0	各式各樣
いろん	1		異論		0	異論
いわ	4		岩		2	岩石
いわい	2		祝		2	祝賀、贈品
いわう	2		祝う		2	祝賀、慶祝
いわば	2		言わば		0,1,2	說起來
いわゆる	2		所謂		2,3	所謂
いん	3		〜員		1	人員、成員
いんかん	1		印鑑		0,3	印鑑、圖章
インキ	2		inkt	オランダ語	0,1	墨水
いんき	1		陰気		0	陰暗、陰鬱、憂鬱
いんきょ	1		隠居		0	退休的老年人、卸去所掌管的家務的人
インク	2		inkt	オランダ語	0,1	墨水
いんさつ	2		印刷		0	印刷
いんしょう	2		印象		0	印象
インターチェンジ	1		interchange		5	高速公路出入口
インターナショナル	1		international		5	國際(的)
インターフォン	1		interphone		3	內線電話、內部通訊裝置
いんたい	2		引退		0	退休
インタビュー	2		interview		1,3	採訪、面談
インテリ	1		intelligentsiya	ロシア語	0	知識份子、文化人
インフォーメーション	0	*1	information		4	情報、詢問處
インフォメーション	1		information		4	情報、詢問處
インフレ	1		inflation		0	通貨膨脹
いんよう	2		引用		0	引用
いんりょく	2		引力		1	引力
ウイスキー	2		whisky		2,3,4	威士忌
ウイルス	1		virus		2	病毒
ウーマン	2		woman		1	女人、婦女
ウール	2		wool		1	羊毛
うえ	4		上		0	上、上面
ウエートレス//ウエイトレス	2		waitress		2	女服務員
うえき	2		植木		0	盆栽、庭院的樹木
うえる	3		植える		0	種、植
うえる	2		飢える		2	飢餓、渴求
うお	2		魚		0	魚
うがい	2		嗽		0	漱口
うかがう	3		伺う「お宅に伺う」		0	拜訪
うかがう	3		伺う「話を伺う」		0	請教、打聽
うかぶ	2		浮かぶ		0	漂浮、呈現、湧上
うかべる	2		浮かべる		0	使〜浮起、想起
うかる	1		受かる		2	考上
うく	2		浮く		0	浮、漂、不牢固
うけいれ	1		受け入れ		0	接受、接納、收入、答應、承諾
うけいれる	1		受け入れる		0,4	接受、採納、收容
うけたまわる	2		承る		0,5	聽取、接受、聽說
うけつぐ	1		受け継ぐ		0,3	繼承、接替
うけつけ	3		受付		0	接受、接收、受理
うけつける	1		受け付ける		0,4	接受、受理
うけとめる	1		受け止める		0,4	接住、阻止
うけとり	2		受け取り		0	收領
うけとる	2		受け取る		0	收、接、領、理解、領會
うけみ	1		受身		2,3	被動、守勢
うけもち	1		受け持ち		0	擔任、擔當
うけもつ	2		受け持つ		0	擔任、擔當
うける	3		受ける		2	收、接受、受到、認同
うごかす	2		動かす		3	移動、搖動
うごき	1		動き		3	動、活動、移動
うごく	3		動く		2	動、移動、搖動
うさぎ	2		兎		0	兔子
うし	2		牛		0	牛
うしなう	2		失う		0	失去、失掉
うしろ	4		後ろ		0	後、後面、後方
うず	1		渦		1	漩渦、渦流
うすい	4		薄い		0	薄的、淺的
うすぐらい	2		薄暗い		0	微暗
うすめる	2		薄める		0	稀釋
うずめる	1		埋める		0	堆滿、佔滿、填補
うそ	3		嘘		1	謊言、假話
うそつき	1		嘘つき		2	說謊的人
うた	4		歌		2	歌、歌曲
うたう	4		歌う		0	歌頌、頌揚、唱、鳴
うたがう	2		疑う		0	懷疑、疑惑
うたたね	1		転寝		0	假睡、打瞌睡
うち	4		家「わたしのうち」		0	家庭、房子、住宅
うち	3		うち「この二つのうち」「三つの〜」		0	〜之中
うちあける	1		打ち明ける		0,4	說實話、說心裡話
うちあわせ	2		打ち合わせ		0	商量、磋商
うちあわせる	2		打ち合わせる		0,5	商量、商談
うちきる	1		打ち切る		0,3	停止、截止、中止
うちけし	1		打ち消し		0	否定、取消
うちけす	2		打ち消す		0,3	否認、否定
うちこむ	1		打ち込む		0,3	打進、投進
うちゅう	2		宇宙		1	宇宙
うちわ	1		団扇		2	相撲的裁判扇
うちわけ	1		内訳		0	細目、明細
うつ	3		打つ		1	打、碰撞
うつ	2		討つ、撃つ		1	討伐、斬、射撃
うっかり	2		うっかり		3	不經神、不留神
うつくしい	3		美しい		4	美麗、好看
うつし	1		写し		3	抄寫、攝影
うつす	3		写す		2	抄、摹寫、照
うつす	2		移す		2	移、遷、挪、搬
うつす	2		映す		2	抄、映
うったえ	1		訴え		0,3	申訴
うったえる	2		訴える		0,4	控告
うっとうしい	1		鬱陶しい		5	沉悶
うつむく	1		俯く		0,3	俯臥
うつる	3		映る		2	映、照
うつる	3		移る		2	遷移、變動
うつる	2		写る		2	透過來、照相
うつろ	1		空ろ		0	空、空虚
うつわ	1		器		0	器
うで	3		腕		2	胳膊、手腕
うでまえ	1		腕前		0,3	能力
うてん	1		雨天		1	雨天
うどん	2		饂飩		0	麵條、烏龍麺
うながす	1		促す		3	催促
うなずく	2		頷く		0,3	點頭
うなる	2		唸る		0	哼哼
うぬぼれ	1		自惚れ		0	自滿自大
うばう	2		奪う		2	搶奪、除去
うま	2		馬		2	馬
うまい	3		美味い、旨い//上手い、巧い		2	好吃的//巧妙、高明、方便
うまる	1		埋まる		0	埋
うまれ	2		生まれ		0	出生
うまれつき	1		生まれつき		0	天生
うまれる	4		生まれる		0	產生、出現
うみ	4		海		1	海、海洋
うむ	2		有無		1	有沒有
うむ	1		産む		0	新生
うめ	2		梅		0	梅子
うめこむ	1		埋め込む		3	內蔵
うめぼし	1		梅干		0	鹹梅
うめる	2		埋める		0	埋
うやまう	2		敬う		3	尊敬
うら	3		裏		2	裡面、背面
うらがえし	1		裏返し		3	表裡相反
うらがえす	2		裏返す		3	翻過來
うらぎる	2		裏切る		3	背叛
うらぐち	2		裏口		0	後門
うらなう	2		占う		3	占卜
うらみ	2		恨み		3	恨
うらむ	2		恨む		2	埋怨
うらやましい	2		羨ましい		0,4	羨幕
うらやむ	2		羨む		3	羨慕
うりあげ	2		売り上げ		0	銷售額、銷售量
うりきれ	2		売り切れ		0	賣完
うりきれる	2		売り切れる		4	賣完
うりだし	1		売り出し		0	開始發賣、拍賣
うりだす	1		売り出す		3	開始出賣、拍賣、降價賣
うりば	3		売り場		0	出售處、售票處、銷售處
うる	4		売る		0	賣、售、販賣
うるおう	1		潤う		3	滋潤
うるさい	4	*3	煩い		3	吵、麻煩的
うれしい	3		嬉しい		3	開心、歡喜的、高興的
うれゆき	2		売れ行き		0	銷售狀況
うれる	2		売れる		0	暢銷、有名
うろうろ	2		うろうろ		1	徘徊、徬徨
うわ	0	*2	上〜		0	上面、表面、高
うわき	1		浮気		0	輕浮
うわぎ	4		上着		0	外衣、上衣
うわさ	2		噂		0	傳言
うわまわる	1		上回る		4	超過
うわる	1		植わる		0	栽着
うん	3		うん	感動詞	1	是、嗯
うん	2		運		1	運、運氣、命運
うんえい	1		運営		0	經營
うんが	2		運河		1	運河
うんざり	1		うんざり		3	厭膩
うんそう	1		運送		0	運送
うんちん	1		運賃		1	運費
うんてん（する）	3		運転（する）		0	運轉、駕駛、開車
うんてんしゅ	3		運転手		3	駕駛員
うんと	2		うんと	副詞	1	多、有的是、非常
うんどう（する）	3		運動（する）		0	運動、活動
うんぬん	1		云々		0	等等、議論、説三道四
うんぱん	1		運搬		0	搬運
うんめい	1		運命		1	命運
うんゆ	1		運輸		1	運輸
うんよう	1		運用		0	運用
え	4		絵		1	圖畫、畫
え	1		柄		0	柄
え（っ）	2		え（っ）	感動詞	0	嗯
エアメール	1		airmail		3	航空郵件
えい	1		〜営			經營
えいえん	2		永遠		0	永遠
えいが	4		映画		0,1	電影
えいがかん	4		映画館		3	電影院
えいきゅう	2		永久		2	永久
えいきょう	2		影響		0	影響
えいぎょう	2		営業		0	營業
えいご	4		英語		0	英語
えいじ	1		英字		0	英文
えいしゃ	1		映写		0	放映
えいせい	2		衛生		0	衛生
えいせい	1		衛星		0	衛星
えいぞう	1		映像		0	映像
えいぶん	2		英文		0	英文
えいゆう	1		英雄		0	英雄
えいよう	2		栄養		0	營養
えいわ	2		英和		0	英日
ええ	4		ええ	感動詞	1	嗯、對
ええと	2		ええと	感動詞	0	唉呀（一時想不起來的聲音）
えがお	2		笑顔		1	笑臉
えがく	2		描く		2	畫
えき	4		駅		1	車站
えき	1		液		1	液
